episode,total_reward,episode_length,success,total_loss,worker_loss,value_loss,entropy_bonus,manager_loss,grad_norm,encoder_grad_norm,manager_grad_norm,worker_grad_norm,value_head_grad_norm,manager_value_head_grad_norm,returns_mean,returns_min,returns_max,advantages_mean,advantages_abs_mean,values_mean,value_min,value_max,manager_values_mean,manager_value_min,manager_value_max,log_prob_mean,log_prob_min,log_prob_max,entropy_mean,entropy_min,entropy_max,num_steps,action_min,action_max,action_coverage,action_histogram,reward_min,reward_max,nonzero_reward_steps,positive_reward_steps,nonzero_reward_fraction,nonzero_return_steps,nonzero_return_fraction,has_reward_signal,has_return_signal,num_goal_updates,final_hidden_norm,final_goal_norm,final_step_count,reward_moving_avg,success_moving_avg,loss_moving_avg
1,0.0,1000,False,-0.2588670253753662,-0.24815873801708221,0.016309233382344246,1.9432575702667236,0.00569685734808445,0.1810680478811264,0.09313783121535286,0.004226644022283167,0.0036234443225212735,0.15384600804932672,0.02028288546595057,0.0,0.0,0.0,-0.12750545144081116,0.12750545144081116,0.12750545144081116,0.10595586895942688,0.14166349172592163,0.07544491440057755,0.06859307736158371,0.07827946543693542,-1.9461519718170166,-2.073826551437378,-1.8370691537857056,1.9432575702667236,1.941945195198059,1.9436537027359009,1000,0,6,1.0,"145,147,143,152,153,127,133",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.0,0.31455227732658386,1000,0.0,0.0,-0.2588670253753662
2,0.0,1000,False,-0.20577679574489594,-0.1917697936296463,0.00980816688388586,1.9430257081985474,0.00519171729683876,0.14052458107471466,0.07298760581846328,0.003973586945933329,0.0022892108968061314,0.11842154766865934,0.019371990121602477,0.0,0.0,0.0,-0.0987088531255722,0.0987088531255722,0.0987088531255722,0.058096084743738174,0.11147566884756088,0.07202577590942383,0.06473813951015472,0.07400840520858765,-1.9428659677505493,-2.0812060832977295,-1.8462841510772705,1.9430257081985474,1.9419784545898438,1.9433413743972778,1000,0,6,1.0,"142,120,163,144,155,135,141",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.0,0.32598644495010376,1000,0.0,0.0,-0.23232191056013107
3,0.0,1000,False,-0.15213097631931305,-0.13570283353328705,0.005058068782091141,1.9427452087402344,0.004702690988779068,0.10247904807329178,0.05482230248158044,0.003794389421735176,0.002418942206985774,0.08447075861318086,0.018463803686337484,0.0,0.0,0.0,-0.06973084062337875,0.06973084062337875,0.06973084062337875,0.012801431119441986,0.08932195603847504,0.0685449168086052,0.060332342982292175,0.07092402875423431,-1.9460755586624146,-2.076920509338379,-1.8422725200653076,1.9427452087402344,1.9416972398757935,1.943077564239502,1000,0,6,1.0,"168,140,150,133,139,138,132",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.0,0.33063167333602905,1000,0.0,0.0,-0.20559159914652506
4,0.47620000000000007,582,True,0.08753132820129395,0.09730309993028641,0.01643018238246441,1.9422439336776733,0.014355804771184921,0.08366899192333221,0.05225941884594886,0.0012655079071549728,0.006888913870470041,0.06473196601571923,0.005492457262196528,0.0815856009721756,0.0013862462947145104,0.47620001435279846,0.050140269100666046,0.07969387620687485,0.031445328146219254,-0.033457204699516296,0.06808561086654663,0.06312735378742218,0.05139436572790146,0.06625841557979584,-1.9449377059936523,-2.086390733718872,-1.844274878501892,1.9422439336776733,1.9411373138427734,1.9428210258483887,582,0,6,1.0,"73,75,94,80,102,81,77",0.0,0.47620000000000007,1,1,0.001718213058419244,582,1.0,True,True,59,0.0,0.3561805486679077,582,0.11905000000000002,0.25,-0.1323108673095703
5,0.0,1000,False,-0.06222900375723839,-0.04363493621349335,0.0009394532535225153,1.942211389541626,0.0035831553395837545,0.03776160627603531,0.019585678280047987,0.003377523643978648,0.0012092176518059207,0.027722960759555288,0.016152637388676457,0.0,0.0,0.0,-0.022458195686340332,0.02742779068648815,0.022458195686340332,-0.04331347346305847,0.05826631188392639,0.05975108593702316,0.05036051571369171,0.06339893490076065,-1.9422422647476196,-2.09565806388855,-1.8393769264221191,1.942211389541626,1.9409277439117432,1.94278085231781,1000,0,6,1.0,"163,120,151,139,156,137,134",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.0,0.3537849187850952,1000,0.09524000000000002,0.2,-0.11829449459910393
6,0.0,1000,False,-0.043812673538923264,-0.025026097893714905,0.0006349775940179825,1.9421581029891968,0.003175164805725217,0.0257487241178751,0.012917740966197015,0.0031922363395860413,0.0014014368906046033,0.015907092516318104,0.01519666819220336,0.0,0.0,0.0,-0.012901831418275833,0.021521596238017082,0.012901831418275833,-0.059921883046627045,0.04778679460287094,0.05619591847062111,0.04315370321273804,0.060346126556396484,-1.9436348676681519,-2.088484764099121,-1.8355755805969238,1.9421581029891968,1.940787434577942,1.94264817237854,1000,0,6,1.0,"142,129,140,151,177,144,117",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.0,0.3255685567855835,1000,0.07936666666666668,0.16666666666666666,-0.10588085775574048
7,0.0,1000,False,-0.04135582223534584,-0.02235409989953041,0.00024697816115804017,1.9423004388809204,0.002977927913889289,0.023513013496994972,0.010810283391424659,0.003127860199337152,0.0004287206496507305,0.014469283788692128,0.014719786965762822,0.0,0.0,0.0,-0.011501222848892212,0.013077237643301487,0.011501222848892212,-0.04219050705432892,0.0362526997923851,0.0545475073158741,0.04872162640094757,0.05676110088825226,-1.9399257898330688,-2.090031385421753,-1.8518561124801636,1.9423004388809204,1.9412999153137207,1.9425703287124634,1000,0,6,1.0,"158,118,161,148,157,117,141",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.0,0.3370254933834076,1000,0.06802857142857144,0.14285714285714285,-0.09666299553854125
8,0.0,1000,False,-0.014340260997414589,0.004748954903334379,0.000165690275025554,1.9421619176864624,0.002495570108294487,0.014955461956560612,0.004285707753524225,0.002920780236284177,0.0006627116690506058,0.0037979991946265807,0.013487164577335835,0.0,0.0,0.0,0.002443276811391115,0.009561736136674881,-0.002443276811391115,-0.04362144321203232,0.01611565798521042,0.049922876060009,0.0440850555896759,0.05179690569639206,-1.9398010969161987,-2.0985026359558105,-1.8478575944900513,1.9421619176864624,1.9412511587142944,1.9425079822540283,1000,0,6,1.0,"150,122,165,164,147,122,130",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.0,0.3705759048461914,1000,0.05952500000000001,0.125,-0.08637265372090042
9,0.0,1000,False,0.004901392385363579,0.023917874321341515,0.00040058078593574464,1.9421055316925049,0.0020428169518709183,0.024449720978736877,0.012623486435267279,0.0026255586197441046,0.0012570976188506933,0.016752318831946313,0.01221975885845325,0.0,0.0,0.0,0.012316277250647545,0.014888985082507133,-0.012316277250647545,-0.054712601006031036,0.01496385782957077,0.04513498768210411,0.037358205765485764,0.04868775233626366,-1.939028024673462,-2.10616135597229,-1.84798002243042,1.9421055316925049,1.9410701990127563,1.9425610303878784,1000,0,6,1.0,"145,125,173,178,135,114,130",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.0,0.4148285686969757,1000,0.05291111111111112,0.1111111111111111,-0.07623109304242665
10,0.0,1000,False,0.018733298406004906,0.037710919976234436,0.0005587615305557847,1.9419808387756348,0.001628044294193387,0.0341712161898613,0.018523081884214514,0.002419771119831796,0.0012093981007524407,0.026425861628701627,0.010905205661197489,0.0,0.0,0.0,0.019385050982236862,0.02000468224287033,-0.019385050982236862,-0.060116104781627655,0.008184470236301422,0.04023388773202896,0.031703151762485504,0.04455842077732086,-1.9440432786941528,-2.1005876064300537,-1.8453595638275146,1.9419808387756348,1.9411290884017944,1.9424550533294678,1000,0,6,1.0,"163,119,151,147,139,137,144",0.0,0.0,0,0,0.0,0,0.0,False,False,100,0.0,0.4242686927318573,1000,0.04762000000000001,0.1,-0.06673465389758348
