model,seed,action_mode,intervention,eval_episodes,success_rate,mean_return,std_return,mean_episode_length,std_episode_length,mean_success_episode_length,hidden_reset_count_total,goal_update_count_total,mean_hidden_resets_per_episode,mean_goal_updates_per_episode,checkpoint_path,checkpoint_episode,config_path,eval_seed_offset,eval_seed_start
baseline,1,sample,normal,100,1.0,0.966934,0.014947924404411473,36.74,16.608804893790523,36.74,0,409,0.0,4.09,checkpoints/multiroom_n4s4_seed1/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed1.yaml,1000,1001
baseline,1,sample,reset_goal,100,1.0,0.967996,0.022636501143065372,35.56,25.151667936739305,35.56,398,398,3.98,3.98,checkpoints/multiroom_n4s4_seed1/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed1.yaml,1000,1001
baseline,1,sample,reset_step,100,1.0,0.967996,0.022636501143065372,35.56,25.151667936739305,35.56,3556,398,35.56,3.98,checkpoints/multiroom_n4s4_seed1/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed1.yaml,1000,1001
baseline,1,argmax,normal,100,1.0,0.980767,0.013881988726403727,21.37,15.424431918226356,21.37,0,252,0.0,2.52,checkpoints/multiroom_n4s4_seed1/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed1.yaml,1000,1001
baseline,1,argmax,reset_goal,100,0.95,0.934718,0.21444963902044695,66.98,214.0626067299004,17.873684210526317,707,707,7.07,7.07,checkpoints/multiroom_n4s4_seed1/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed1.yaml,1000,1001
baseline,1,argmax,reset_step,100,0.95,0.934718,0.21444963902044695,66.98,214.0626067299004,17.873684210526317,6698,707,66.98,7.07,checkpoints/multiroom_n4s4_seed1/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed1.yaml,1000,1001
baseline,11,sample,normal,100,0.99,0.9591660000000001,0.09763992648501943,44.26,97.58961215211382,34.60606060606061,0,488,0.0,4.88,checkpoints/multiroom_n4s4_seed11/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed11.yaml,1000,1011
baseline,11,sample,reset_goal,100,0.98,0.951362,0.13610873578135976,51.82,135.70183344376744,32.46938775510204,565,565,5.65,5.65,checkpoints/multiroom_n4s4_seed11/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed11.yaml,1000,1011
baseline,11,sample,reset_step,100,0.98,0.951362,0.13610873578135976,51.82,135.70183344376744,32.46938775510204,5182,565,51.82,5.65,checkpoints/multiroom_n4s4_seed11/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed11.yaml,1000,1011
baseline,11,argmax,normal,100,1.0,0.9838450000000001,0.0021501337167720777,17.95,2.389037463080058,17.95,0,217,0.0,2.17,checkpoints/multiroom_n4s4_seed11/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed11.yaml,1000,1011
baseline,11,argmax,reset_goal,100,1.0,0.9838450000000001,0.0021501337167720777,17.95,2.389037463080058,17.95,217,217,2.17,2.17,checkpoints/multiroom_n4s4_seed11/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed11.yaml,1000,1011
baseline,11,argmax,reset_step,100,1.0,0.9838450000000001,0.0021501337167720777,17.95,2.389037463080058,17.95,1795,217,17.95,2.17,checkpoints/multiroom_n4s4_seed11/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed11.yaml,1000,1011
baseline,44,sample,normal,100,1.0,0.966691,0.023322504561045756,37.01,25.913893956717505,37.01,0,421,0.0,4.21,checkpoints/multiroom_n4s4_seed44/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed44.yaml,1000,1044
baseline,44,sample,reset_goal,100,1.0,0.9605889999999999,0.0578992174299446,43.79,64.33246381104955,43.79,491,491,4.91,4.91,checkpoints/multiroom_n4s4_seed44/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed44.yaml,1000,1044
baseline,44,sample,reset_step,100,1.0,0.9605889999999999,0.0578992174299446,43.79,64.33246381104955,43.79,4379,491,43.79,4.91,checkpoints/multiroom_n4s4_seed44/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed44.yaml,1000,1044
baseline,44,argmax,normal,100,1.0,0.983692,0.0027008398693739903,18.12,3.0009331881932995,18.12,0,220,0.0,2.2,checkpoints/multiroom_n4s4_seed44/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed44.yaml,1000,1044
baseline,44,argmax,reset_goal,100,0.96,0.944655,0.19283919123196924,57.05,192.49407133727524,17.760416666666668,608,608,6.08,6.08,checkpoints/multiroom_n4s4_seed44/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed44.yaml,1000,1044
baseline,44,argmax,reset_step,100,0.96,0.944655,0.19283919123196924,57.05,192.49407133727524,17.760416666666668,5705,608,57.05,6.08,checkpoints/multiroom_n4s4_seed44/baseline/episode_5000.pt,5000,configs/train_fun_baseline_multiroom_n4s4_ms1000_seed44.yaml,1000,1044
