model_type,seed,action_mode,episode_id,episode_seed,success,return,episode_length,num_goal_updates,mean_goal_norm,std_goal_norm,mean_goal_delta_l2,std_goal_delta_l2,mean_goal_cosine_prev,std_goal_cosine_prev,mean_policy_entropy,mean_top1_prob,mean_chosen_action_prob,mean_action_kl_on_goal_update,top1_action_change_rate_on_goal_update
baseline,1,sample,1,1001,True,0.9775,25,3,2.159512758255005,0.18607494565884422,0.0278709443906943,0.0925116905457669,0.9995583018797619,0.0015518982203396841,1.2718449211120606,0.5994034695625305,0.39387058436870576,0.008705582469701767,0.0
baseline,1,sample,2,1002,True,0.9631,41,5,2.0126405925285527,0.2716831864866006,0.043341970443725585,0.13697835487863272,0.9988301482965687,0.0038536994377346336,1.3827037665902115,0.5455493011125704,0.3509608884228439,0.49312066001584753,0.25
baseline,1,sample,3,1003,True,0.9757,27,3,1.9241435439498336,0.2831022754746387,0.034768373920367315,0.12731631883046163,0.9990028495819355,0.004029586650695119,1.3253299792607625,0.5772710133481909,0.42095138311938,1.541978657245636,1.0
baseline,1,sample,4,1004,True,0.9685,35,4,2.0939853191375732,0.15796518041786814,0.03036647552953047,0.10417573275136667,0.9988472912631098,0.005270768852282954,1.3152356794902256,0.583327568428857,0.36245296874216626,0.2807392414348821,0.3333333333333333
baseline,1,sample,5,1005,True,0.9748,28,3,2.1508619700159346,0.1986171937812251,0.03382317887412177,0.11959718659754096,0.9988145711319437,0.0044334005271224955,1.2922181955405645,0.5911404969436782,0.4641297228102173,1.4361777207814157,0.5
baseline,1,sample,6,1006,True,0.9631,41,5,2.150416217199186,0.13965504401686418,0.032035880535840985,0.09870987255926064,0.9992207291686765,0.00304323001252475,1.3070604016141194,0.5841331998022591,0.3450998235948202,1.6038382638071198,0.5
baseline,1,sample,7,1007,True,0.9676,36,4,2.186624805132548,0.22752834253020462,0.029146523135049004,0.09626471267596005,0.9994000723940045,0.00231114113513546,1.3101035323407915,0.582085654967361,0.33314744212354225,0.003229676168605996,0.0
baseline,1,sample,8,1008,True,0.9694,34,4,1.9512662466834574,0.23424235398888005,0.03339991154092731,0.1120363328018778,0.9992439592104855,0.002849894644977118,1.3596498124739702,0.5608332919723847,0.3999869601581903,1.1608230918645859,0.3333333333333333
baseline,1,sample,9,1009,True,0.973,30,3,2.0677112340927124,0.05651752583882923,0.021169167140434528,0.07808007571471935,0.9992906522427837,0.0026653670649913626,1.30724325577418,0.5848074674606323,0.44114608863989513,5.717214662581682e-05,0.0
baseline,1,sample,10,1010,True,0.9658,38,4,2.167042474997671,0.18556162527026346,0.028412733529065107,0.1002123267096133,0.9992369210785854,0.002889390587593377,1.33574735334045,0.5747336353126326,0.34914516608573887,0.00026690443822493154,0.0
baseline,1,sample,11,1011,True,0.9685,35,4,1.924522808619908,0.23396768211146413,0.04328889355939977,0.14234483831949318,0.9983023576624754,0.005647031437332272,1.3739713788032533,0.5603555755955832,0.36026244115616596,0.006284393059710662,0.0
baseline,1,sample,12,1012,True,0.9739,29,3,1.8159101502648716,0.2416668833408823,0.03358466071741922,0.12319292023271149,0.9983689243327128,0.006836650034488307,1.3336264264994655,0.572435075866765,0.4370941450369769,1.045406907913275,0.5
baseline,1,sample,13,1013,True,0.9766,26,3,2.044611408160283,0.14222576216256638,0.032615320682525636,0.11119843606398955,0.9987966765189346,0.005051659941061541,1.2706246788685138,0.602808938576625,0.4665117687545717,1.1668803691864014,1.0
baseline,1,sample,14,1014,True,0.9766,26,3,2.1633604214741635,0.22311737813468493,0.03213169932365417,0.11625249559847022,0.99937283634025,0.0022617044620298187,1.2635322213172913,0.6004995084725894,0.45951052110355634,2.472890257835388,1.0
baseline,1,sample,15,1015,True,0.9748,28,3,2.0738932490348816,0.11787500562140572,0.025130732191933527,0.09074805766541824,0.9991377100915245,0.0034054782101927694,1.3170174743447984,0.5772369099514825,0.4050196028713669,8.463335689157248e-05,0.0
