model_type,seed,action_mode,episode_id,step,success,episode_length,goal_delta_l2,goal_cosine_prev,action_prob_kl_from_prev,top1_action_changed_on_goal_update,entropy_after_update,top1_prob_after_update
baseline,1,sample,1,10,True,25,0.34728625416755676,0.9929240635081187,0.004722604528069496,False,1.3681328296661377,0.5469748973846436
baseline,1,sample,1,20,True,25,0.32161641120910645,0.9964765400184185,0.012688560411334038,False,1.1830490827560425,0.633213996887207
baseline,1,sample,2,10,True,41,0.563706636428833,0.9819435651149769,9.297498036175966e-05,False,1.3827192783355713,0.5359683632850647
baseline,1,sample,2,20,True,41,0.40209004282951355,0.9883487837991952,1.9722532033920288,True,1.1271772384643555,0.7002084255218506
baseline,1,sample,2,30,True,41,0.22362765669822693,0.9959854228993601,0.00010963669046759605,False,1.1686500310897827,0.6870893836021423
baseline,1,sample,2,40,True,41,0.54425448179245,0.9869279081459789,2.6825000531971455e-05,False,1.2581156492233276,0.5748679637908936
baseline,1,sample,3,10,True,27,0.6007966995239258,0.9795552452047109,0.8537949323654175,True,1.2610890865325928,0.6204632520675659
baseline,1,sample,3,20,True,27,0.3031810224056244,0.9945190496118754,2.2301623821258545,True,0.9221012592315674,0.7778026461601257
baseline,1,sample,4,10,True,35,0.5158053040504456,0.9691463646738231,0.8421491384506226,True,1.5414328575134277,0.4490419924259186
baseline,1,sample,4,20,True,35,0.27856072783470154,0.9970562824318919,1.55535526573658e-05,False,1.3947374820709229,0.5751301050186157
baseline,1,sample,4,30,True,35,0.23809413611888885,0.994603803898045,5.303230136632919e-05,False,1.3060355186462402,0.5859699249267578
baseline,1,sample,5,10,True,28,0.4633820652961731,0.9786885627855061,2.8723108768463135,True,1.3844060897827148,0.535282552242279
baseline,1,sample,5,20,True,28,0.44984376430511475,0.9893018574971826,4.456471651792526e-05,False,1.3458659648895264,0.5521501302719116
baseline,1,sample,6,10,True,41,0.43672260642051697,0.9821550260719477,7.930945139378309e-05,False,1.377882719039917,0.5327615141868591
baseline,1,sample,6,20,True,41,0.2691325545310974,0.9922406394775837,5.932641215622425e-05,False,1.4363963603973389,0.5017783641815186
baseline,1,sample,6,30,True,41,0.2562282383441925,0.9966713314965955,1.2202576398849487,True,1.1835341453552246,0.6401601433753967
baseline,1,sample,6,40,True,41,0.31935182213783264,0.9977617700721195,5.1949567794799805,True,1.3066606521606445,0.5466842651367188
baseline,1,sample,7,10,True,36,0.40527117252349854,0.9875932816385943,6.897514685988426e-05,False,1.4034970998764038,0.529362678527832
baseline,1,sample,7,20,True,36,0.2873643934726715,0.9936158689855653,3.4527518437244e-05,False,1.3151359558105469,0.6046253442764282
baseline,1,sample,7,30,True,36,0.32749274373054504,0.9977951786288624,0.009585525840520859,False,1.0720628499984741,0.6806004643440247
baseline,1,sample,8,10,True,34,0.5104699730873108,0.9844359984325622,2.9291768074035645,True,1.397650957107544,0.5330280661582947
baseline,1,sample,8,20,True,34,0.20816001296043396,0.9947688228488556,0.5291280746459961,False,1.3663697242736816,0.5634746551513672
baseline,1,sample,8,30,True,34,0.38356709480285645,0.9958428318711985,0.024164393544197083,False,1.3275314569473267,0.5769073367118835
baseline,1,sample,9,10,True,30,0.2809324562549591,0.9918404125976554,3.566383384168148e-05,False,1.4879015684127808,0.5041282176971436
baseline,1,sample,9,20,True,30,0.3329733908176422,0.9875889383033294,7.868045940995216e-05,False,1.4237548112869263,0.5084187388420105
baseline,1,sample,10,10,True,38,0.46118825674057007,0.9892040664794475,0.0006071347743272781,False,0.9530704021453857,0.7675912976264954
baseline,1,sample,10,20,True,38,0.38062432408332825,0.9857199967885226,0.0001525303814560175,False,1.252516508102417,0.6229970455169678
baseline,1,sample,10,30,True,38,0.20945855975151062,0.9968422442040903,4.104815889149904e-05,False,1.4339823722839355,0.5603694319725037
baseline,1,sample,11,10,True,35,0.6296987533569336,0.9781901772641746,0.017968205735087395,False,1.3564016819000244,0.5416797399520874
baseline,1,sample,11,20,True,35,0.4486003518104553,0.976488482371595,0.00039030564948916435,False,1.5424745082855225,0.4629734754562378
baseline,1,sample,11,30,True,35,0.39352327585220337,0.9876002987148457,0.0004946677945554256,False,1.0800877809524536,0.7232862114906311
baseline,1,sample,12,10,True,29,0.5549660325050354,0.9641203883999552,9.721540845930576e-05,False,1.5065977573394775,0.4795566499233246
baseline,1,sample,12,20,True,29,0.38540446758270264,0.9902092475385987,2.090716600418091,True,1.0250163078308105,0.7427917718887329
baseline,1,sample,13,10,True,26,0.44829046726226807,0.9744302035552228,1.0046100616455078,True,1.5561543703079224,0.4567677974700928
baseline,1,sample,13,20,True,26,0.3670925498008728,0.9954870299475684,1.329150676727295,True,1.0827735662460327,0.6827687621116638
baseline,1,sample,14,10,True,26,0.258402019739151,0.9948812259981401,2.3667547702789307,True,1.1018140316009521,0.7095378041267395
baseline,1,sample,14,20,True,26,0.5448904633522034,0.9894399722564295,2.5790257453918457,True,0.6993365287780762,0.8454704284667969
baseline,1,sample,15,10,True,28,0.40709295868873596,0.9827832456174492,0.00014280620962381363,False,1.4453387260437012,0.5180636644363403
baseline,1,sample,15,20,True,28,0.27143681049346924,0.9939348814447273,2.6460504159331322e-05,False,1.3303797245025635,0.5592978000640869
baseline,1,sample,16,10,True,133,0.29773861169815063,0.9885814612785916,0.06195274740457535,False,1.6114277839660645,0.43914616107940674
baseline,1,sample,16,20,True,133,0.39421042799949646,0.9810659809117587,0.0015284083783626556,False,1.7950401306152344,0.3533798158168793
baseline,1,sample,16,30,True,133,0.17843890190124512,0.9940020738959284,0.0304136723279953,False,1.803967833518982,0.31446748971939087
baseline,1,sample,16,40,True,133,0.14440582692623138,0.996168719557002,0.08976075053215027,True,1.8133232593536377,0.3063587248325348
baseline,1,sample,16,50,True,133,0.12270644307136536,0.997524533251641,0.08617567270994186,False,1.6488447189331055,0.4237445294857025
baseline,1,sample,16,60,True,133,0.11072053760290146,0.9978100236225593,0.08352667093276978,False,1.6579594612121582,0.4182787239551544
baseline,1,sample,16,70,True,133,0.23548075556755066,0.9914075884591478,0.08209536224603653,True,1.8352527618408203,0.2856661379337311
baseline,1,sample,16,80,True,133,0.11200062930583954,0.9980717005963918,0.1552218794822693,True,1.7387213706970215,0.3756573796272278
baseline,1,sample,16,90,True,133,0.26801708340644836,0.9831034458266149,0.0005916738882660866,False,1.8681747913360596,0.28507930040359497
baseline,1,sample,16,100,True,133,0.09314475953578949,0.9981099787757889,0.03219319507479668,False,1.8543968200683594,0.26518622040748596
baseline,1,sample,16,110,True,133,0.21859334409236908,0.9881174272827659,0.23955759406089783,True,1.918135166168213,0.2074001133441925
baseline,1,sample,16,120,True,133,0.7229612469673157,0.9177030507167351,0.01258593425154686,False,1.3513832092285156,0.5469250679016113
baseline,1,sample,16,130,True,133,0.52946937084198,0.9873607366320595,1.0885826349258423,True,1.1294801235198975,0.6574851274490356
baseline,1,sample,17,10,True,46,0.3918071389198303,0.9816296428390423,8.451682515442371e-05,False,1.439866542816162,0.5002991557121277
baseline,1,sample,17,20,True,46,0.3552198112010956,0.9934096694117972,2.521876096725464,True,1.3172247409820557,0.6034443378448486
baseline,1,sample,17,30,True,46,0.23793576657772064,0.9946210792149928,0.09810839593410492,False,1.2435829639434814,0.6590976119041443
baseline,1,sample,17,40,True,46,0.5079246163368225,0.9887880870227646,0.0005835052579641342,False,1.585039734840393,0.4505576193332672
baseline,1,sample,18,10,True,39,0.48911285400390625,0.9907707416372102,0.0014523202553391457,False,1.798563838005066,0.2837660014629364
baseline,1,sample,18,20,True,39,0.3570863902568817,0.987364257926281,1.9156994819641113,True,1.305983066558838,0.6169373393058777
baseline,1,sample,18,30,True,39,0.1828266829252243,0.9971567864091521,1.3043010234832764,True,1.4361419677734375,0.5639646053314209
baseline,1,sample,19,10,True,19,0.422208696603775,0.9941407793085958,9.142444469034672e-05,False,1.4710705280303955,0.5394854545593262
baseline,1,sample,20,10,True,26,0.2521747350692749,0.9957936665583892,3.016518894582987e-05,False,1.4383301734924316,0.5185095071792603
baseline,1,sample,20,20,True,26,0.26698756217956543,0.9939146302555696,6.447266787290573e-05,False,1.3839328289031982,0.5345240235328674
baseline,1,sample,21,10,True,65,0.2447807490825653,0.9923634582406194,1.426203966140747,True,1.195189356803894,0.6800076365470886
baseline,1,sample,21,20,True,65,0.21880200505256653,0.9987342215550026,0.0001931565348058939,False,0.9353049397468567,0.7734338045120239
baseline,1,sample,21,30,True,65,0.4759981036186218,0.9828579992426602,0.0006876746192574501,False,1.7170615196228027,0.3533572554588318
baseline,1,sample,21,40,True,65,0.22968609631061554,0.9942712894568245,0.20518767833709717,True,1.5859802961349487,0.4025222063064575
baseline,1,sample,21,50,True,65,0.39303794503211975,0.9920397254832043,0.00011007115244865417,False,1.2891793251037598,0.6107220649719238
baseline,1,sample,21,60,True,65,0.5443600416183472,0.9868857574358505,0.0005265739746391773,False,1.3643028736114502,0.5645544528961182
baseline,1,sample,22,10,True,35,0.5120568871498108,0.9592297263411057,0.000287594273686409,False,1.5647225379943848,0.45243483781814575
baseline,1,sample,22,20,True,35,0.4643489122390747,0.9805047388987523,1.8032556772232056,True,1.1753841638565063,0.6847480535507202
baseline,1,sample,22,30,True,35,0.3277394771575928,0.9903127423596918,1.2670824527740479,True,1.2853199243545532,0.6134291291236877
baseline,1,sample,23,10,True,28,0.535929799079895,0.9620319344790744,1.1815913915634155,True,1.2438313961029053,0.6121441721916199
baseline,1,sample,23,20,True,28,0.411091685295105,0.986297606697528,0.7915163636207581,True,1.3593058586120605,0.5742337107658386
baseline,1,sample,24,10,True,22,0.4087093472480774,0.9827556187498797,1.065596342086792,True,1.3595776557922363,0.596460223197937
baseline,1,sample,24,20,True,22,0.5011701583862305,0.9937651883673467,0.012939853593707085,False,1.0581756830215454,0.6876183748245239
baseline,1,sample,25,10,True,33,0.5175581574440002,0.993248071217912,2.0550379753112793,True,1.1121947765350342,0.7063362002372742
baseline,1,sample,25,20,True,33,0.41504472494125366,0.9803227247694662,8.47808551043272e-05,False,1.428171157836914,0.5107661485671997
baseline,1,sample,25,30,True,33,0.35885676741600037,0.9892875071948551,0.9126465320587158,True,1.2502485513687134,0.6236922144889832
baseline,1,sample,26,10,True,52,0.44613367319107056,0.9932963597932392,0.00015095435082912445,False,1.3783550262451172,0.580030083656311
