model_type,seed,action_mode,episode_id,episode_seed,step,reward,done,success,action,goal_updated,goal_age,goal_norm,goal_delta_l2,goal_cosine_prev,policy_entropy,top1_prob,chosen_action_prob,top1_action,action_changed_from_prev_step,hidden_norm,action_prob_kl_from_prev,top1_action_changed_on_goal_update,goal_vector,action_probs
baseline,1,argmax,1,1001,0,0.0,False,True,5,True,0,1.962281346321106,,,1.3825998306274414,0.5779130458831787,0.5779130458831787,5,,2.5252645015716553,,,"[-0.434526,0.614162,-0.041759,0.183016,-0.764103,-0.385995,-0.854185,-0.125411,0.968415,-0.088717,-0.232911,-0.55049,0.584605,0.167899,-0.286669,0.126407]","[0.02740636,0.02420873,0.07975482,0.09240934,0.1163995,0.57791305,0.08190817]"
baseline,1,argmax,1,1001,1,0.0,False,True,2,False,1,1.962281346321106,0.0,0.9999999242724874,1.3170274496078491,0.5747277736663818,0.5747277736663818,2,True,2.5252645015716553,,,"[-0.434526,0.614162,-0.041759,0.183016,-0.764103,-0.385995,-0.854185,-0.125411,0.968415,-0.088717,-0.232911,-0.55049,0.584605,0.167899,-0.286669,0.126407]","[0.00958373,0.0053354,0.57472777,0.11109063,0.10486263,0.07040008,0.12399974]"
baseline,1,argmax,1,1001,2,0.0,False,True,2,False,2,1.962281346321106,0.0,0.9999999242724874,1.3770296573638916,0.5341951847076416,0.5341951847076416,2,False,2.5252645015716553,,,"[-0.434526,0.614162,-0.041759,0.183016,-0.764103,-0.385995,-0.854185,-0.125411,0.968415,-0.088717,-0.232911,-0.55049,0.584605,0.167899,-0.286669,0.126407]","[0.00672894,0.00365572,0.53419518,0.12986153,0.11237325,0.10392869,0.10925672]"
baseline,1,argmax,1,1001,3,0.0,False,True,2,False,3,1.962281346321106,0.0,0.9999999242724874,1.372258186340332,0.5454469323158264,0.5454469323158264,2,False,2.5252645015716553,,,"[-0.434526,0.614162,-0.041759,0.183016,-0.764103,-0.385995,-0.854185,-0.125411,0.968415,-0.088717,-0.232911,-0.55049,0.584605,0.167899,-0.286669,0.126407]","[0.00819658,0.0061996,0.54544693,0.10114931,0.1172699,0.11291303,0.10882463]"
baseline,1,argmax,1,1001,4,0.0,False,True,5,False,4,1.962281346321106,0.0,0.9999999242724874,1.2635416984558105,0.6194437146186829,0.6194437146186829,5,True,2.5252645015716553,,,"[-0.434526,0.614162,-0.041759,0.183016,-0.764103,-0.385995,-0.854185,-0.125411,0.968415,-0.088717,-0.232911,-0.55049,0.584605,0.167899,-0.286669,0.126407]","[0.01356775,0.0118006,0.09291243,0.08326154,0.10749468,0.61944371,0.07151923]"
baseline,1,argmax,1,1001,5,0.0,False,True,2,False,5,1.962281346321106,0.0,0.9999999242724874,1.2358176708221436,0.612360954284668,0.612360954284668,2,True,2.5252645015716553,,,"[-0.434526,0.614162,-0.041759,0.183016,-0.764103,-0.385995,-0.854185,-0.125411,0.968415,-0.088717,-0.232911,-0.55049,0.584605,0.167899,-0.286669,0.126407]","[0.00554985,0.00311462,0.61236095,0.10254525,0.09574532,0.0717224,0.10896159]"
baseline,1,argmax,1,1001,6,0.0,False,True,2,False,6,1.962281346321106,0.0,0.9999999242724874,1.380025863647461,0.5322486758232117,0.5322486758232117,2,False,2.5252645015716553,,,"[-0.434526,0.614162,-0.041759,0.183016,-0.764103,-0.385995,-0.854185,-0.125411,0.968415,-0.088717,-0.232911,-0.55049,0.584605,0.167899,-0.286669,0.126407]","[0.00663546,0.00371649,0.53224868,0.13018216,0.11292762,0.10477665,0.10951292]"
baseline,1,argmax,1,1001,7,0.0,False,True,2,False,7,1.962281346321106,0.0,0.9999999242724874,1.3712445497512817,0.545775830745697,0.545775830745697,2,False,2.5252645015716553,,,"[-0.434526,0.614162,-0.041759,0.183016,-0.764103,-0.385995,-0.854185,-0.125411,0.968415,-0.088717,-0.232911,-0.55049,0.584605,0.167899,-0.286669,0.126407]","[0.00799638,0.0062203,0.54577583,0.10125881,0.1176707,0.11286052,0.10821748]"
baseline,1,argmax,1,1001,8,0.0,False,True,5,False,8,1.962281346321106,0.0,0.9999999242724874,1.2736371755599976,0.616824746131897,0.616824746131897,5,True,2.5252645015716553,,,"[-0.434526,0.614162,-0.041759,0.183016,-0.764103,-0.385995,-0.854185,-0.125411,0.968415,-0.088717,-0.232911,-0.55049,0.584605,0.167899,-0.286669,0.126407]","[0.01511096,0.01280226,0.09026711,0.08414385,0.10823557,0.61682475,0.07261556]"
baseline,1,argmax,1,1001,9,0.0,False,True,2,False,9,1.962281346321106,0.0,0.9999999242724874,1.2821745872497559,0.5855181217193604,0.5855181217193604,2,True,2.5252645015716553,,,"[-0.434526,0.614162,-0.041759,0.183016,-0.764103,-0.385995,-0.854185,-0.125411,0.968415,-0.088717,-0.232911,-0.55049,0.584605,0.167899,-0.286669,0.126407]","[0.00446436,0.00228856,0.58551812,0.10068515,0.10877831,0.09773497,0.1005306]"
baseline,1,argmax,1,1001,10,0.0,False,True,2,True,0,2.40547776222229,0.508773922920227,0.993387178748018,1.1890286207199097,0.630232572555542,0.630232572555542,2,False,3.2592978477478027,0.01257279235869646,False,"[-0.426877,0.79366,-0.013816,0.366318,-0.970052,-0.370693,-1.085323,-0.064931,1.112848,-0.053658,-0.279769,-0.721439,0.75169,0.113428,-0.359673,0.178729]","[0.00135484,0.00393148,0.63023257,0.09781806,0.1076504,0.09381507,0.06519753]"
baseline,1,argmax,1,1001,11,0.0,False,True,2,False,1,2.40547776222229,0.0,1.0000000488768623,1.3875608444213867,0.5528941750526428,0.5528941750526428,2,False,3.2592978477478027,,,"[-0.426877,0.79366,-0.013816,0.366318,-0.970052,-0.370693,-1.085323,-0.064931,1.112848,-0.053658,-0.279769,-0.721439,0.75169,0.113428,-0.359673,0.178729]","[0.00311462,0.03229019,0.55289418,0.10933045,0.12492176,0.09578311,0.0816657]"
